project_id,project_name,sponsor,county,announced_mw,announcement_date,site_control_evidence,site_control_source_url,site_control_capture_date,site_control_status,physical_commitment_evidence,physical_commitment_source_url,physical_commitment_capture_date,physical_commitment_status,financial_commitment_evidence,financial_commitment_source_url,financial_commitment_capture_date,financial_commitment_status,incentive_filings_evidence,incentive_filings_source_url,incentive_filings_capture_date,incentive_filings_status,sponsor_track_record_evidence,sponsor_track_record_source_url,sponsor_track_record_capture_date,sponsor_track_record_status,inferred_flags,evidence_md,last_updated
1,Project Matador (HyperGrid),Fermi America,Carson County (TBD vs Potter/Randall),11000,2025-06-26,"99-yr sovereign leasehold, 5855 acres, from Texas Tech University System",https://amarillotribune.org/2025/11/17/fermi-americas-lease-with-the-texas-tech-university-system-establishes-research-facilities-scholarship-fund-and-more/,2026-08-05,evidence found - strong,"TCEQ Docket 2025-1898-AIR, 90+3 turbines, approved as 2nd-largest US Clean Air permit ~2026-02-25; 2nd 5GW application filed 2026-03-27",https://www.tceq.texas.gov/downloads/agency/decisions/agendas/backup/2025/2025-1898-air-appr.pdf,2026-08-05,evidence found - strong,"Public co (FRMI); $150M tenant funding pact CANCELLED; no binding tenant; stock down ~65-80% since IPO",https://247wallst.com/investing/2026/07/10/fermi-america-sinks-11-5-with-375-million-offering/,2026-08-05,evidence found - negative,"Checked JETI current-agreements (9 active, no match) and Comptroller Data Center registry (no match) - dead end both",https://comptroller.texas.gov/economy/development/prop-tax/jeti/current-agreements.php,2026-08-05,no evidence found,"Development-stage co, no prior operating history, no facilities built, class-action re: overstated tenant demand, short-seller permit challenge",https://www.eenews.net/articles/rick-perry-led-company-eyes-doe-loan-for-massive-ai-project/,2026-08-05,evidence found - negative,county boundary unresolved (Carson primary per most sources),evidence/01-fermi-america-project-matador.md,2026-08-05
2,Abilene Campus (Stargate + Microsoft AI Factory),Crusoe Energy / Lancium,Taylor County,2100,2026-03-18,"Company-disclosed Lancium-owns-land structure; no acreage/deed found directly; indirect confirmation via city/county property-tax-revenue budget refs",https://www.crusoe.ai/resources/newsroom/crusoe-announces-new-900-mw-ai-factory-campus-in-abilene-texas-to-support-microsoft-ai-infrastructure,2026-08-05,evidence found - partial/inferred,"TCEQ Standard Permit approved 2025-01-22, ~360MW/10 turbines 'onsite use only'; further NSR application 2025-11-07",https://records.tceq.texas.gov/cs/idcplg?IdcService=TCEQ_EXTERNAL_SEARCH_GET_FILE&dID=8600163&Rendition=Web,2026-08-05,evidence found - strong,"Microsoft 900MW + OpenAI 1.2GW leases confirmed by both cos; Crusoe/Blue Owl $3.4B JV (not site-specific); no ERCOT fee figure found",https://www.datacenterfrontier.com/hyperscale/article/55276169/crusoe-adds-45-gw-natural-gas-to-fuel-ai-expands-abilene-data-center-to-12-gw,2026-08-05,evidence found - partial,"Lancium listed on Comptroller Data Center registry, 'Abilene Clean Campus I-VIII'; not on JETI list",https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,2026-08-05,evidence found - needs manual confirm,"Crusoe delivered Phase 1 groundbreak-to-operational in ~15 months (Jun 2024-Sep 2025)",https://lanin.substack.com/p/crusoe-is-not-a-neocloud-its-americas,2026-08-05,evidence found - positive,,evidence/02-crusoe-lancium-abilene.md,2026-08-05
3,Project Horizon,Poolside AI (with CoreWeave),Pecos County,2000,2025-10-15,"568-acre leasehold on Mitchell family's Longfellow Ranch (named family, not opaque LLC)",https://poolside.ai/blog/announcing-project-horizon,2026-08-05,evidence found - partial,"Search found only unrelated Pacifico Energy 'GW Ranch' permit in same county; no Poolside-specific docket",n/a,2026-08-05,no evidence found (dead end - wrong project surfaced),"CoreWeave 250MW anchor lease TERMINATED late Mar 2026 after Poolside's $2B Series C failed; scaled to 400MW revival by Jul 2026",https://www.datacenterdynamics.com/en/news/ai-startup-poolside-teams-up-with-coreweave-on-2gw-data-center-in-texas/,2026-08-05,evidence found - negative/reversed,"Listed on Comptroller Data Center registry, 'Pecos County I and II'; not on JETI list",https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,2026-08-05,evidence found - needs manual confirm,"AI startup, no prior data-center delivery; first major infra commitment already lost anchor tenant + funding",https://tech-insider.org/poolside-ai-project-horizon-coreweave-2gw-texas-collapse-2026/,2026-08-05,evidence found - negative,status deteriorated substantially since announcement - kept per Vish's evidence-not-vibes decision,evidence/03-poolside-project-horizon.md,2026-08-05
4,Data Center Technology Park,Tract,Caldwell County,2000,2025-05-07,"Closed acquisition, 1515 acres (expanded to ~3000ac Jan 2026), corporate-disclosed closed transaction",https://www.globenewswire.com/news-release/2025/05/07/3076274/0/en/TRACT-CLOSES-ACQUISITION-OF-1-515-ACRES-IN-CALDWELL-COUNTY-TEXAS-FOR-MULTI-GIGAWATT-DATA-CENTER-TECHNOLOGY-PARK.html,2026-08-05,evidence found - strong,"No operator/tenant named yet, consistent with land-developer model - none expected",n/a,2026-08-05,no evidence found (expected - no tenant yet),"Facility Design Agreement w/ Blue Bonnet Electric Cooperative, target 360MW energization 2028",n/a,2026-08-05,evidence found - partial,Checked JETI and Comptroller registry - no match on either,https://comptroller.texas.gov/economy/development/prop-tax/jeti/current-agreements.php,2026-08-05,no evidence found,"Founder Grant van Rooyen: founded/led Cologix 8yrs (recapped $1.4B/$4B), sold Teraco stake to Digital Realty ~$3.5B - strong founder record; company itself has zero site-specific delivery yet",https://www.datacenterdynamics.com/en/analysis/building-for-the-long-term-grant-van-rooyens-tract-masterplan/,2026-08-05,evidence found - mixed,strong founder pedigree vs zero company delivery record on this site,evidence/04-tract-caldwell-county.md,2026-08-05
5,Grand Prairie Campus,PowerHouse Data Centers / Provident Data Centers,Ellis County,1800,TBD 2025,"768-acre site, self-reported 'newly-rezoned, all approvals secured'; no independent CAD confirmation",https://www.powerhousedata.com/news/powerhouse-and-provident-rewrite-the-data-center-playbook-with-new-texas-hyperscale-campus,2026-08-05,evidence found - partial/self-reported,No project-specific TCEQ docket found; search returned generic TCEQ pages only,n/a,2026-08-05,no evidence found,"Company states first 500MW tranche is 'ERCOT-approved' (self-disclosed, unverifiable against public registry)",n/a,2026-08-05,evidence found - partial/unverifiable,Checked JETI and Comptroller registry - no match on either,n/a,2026-08-05,no evidence found,"PowerHouse concurrently executing Irving campus (#18), reached 'topped out' milestone; Provident not independently researched",https://www.datacenterdynamics.com/en/news/powerhouse-tops-out-first-irving-data-center-in-texas/,2026-08-05,evidence found - partial,Provident track record not yet researched,evidence/05-powerhouse-provident-ellis-county.md,2026-08-05
6,Frontier,Vantage Data Centers,Shackelford County,1400,2025-08-19,"~1200-acre site, self-disclosed via Vantage's own site page; no CAD/deed confirmation",https://vantage-dc.com/data-center-locations/north-america/shackelford-county-tx,2026-08-05,evidence found - partial/self-reported,"VoltaGrid LLC TCEQ permit 182467/PSDTX1692/GHGPSDTX266, 210 generators/700MW, filed 2025-12-12, notice 2025-12-17, at 299 FM 604 Shackelford Co.",https://www.tceq.texas.gov/downloads/permitting/air/bilingual/pending-permit-notices/182467-pls-english.pdf,2026-08-05,evidence found - strong,"$25B total investment disclosed; no project-specific ERCOT fee found",n/a,2026-08-05,evidence found - partial,"Vantage listed on Comptroller registry (TX11/12/21/22/301-310) but not labeled by county - can't confirm Frontier-specific match",https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,2026-08-05,evidence found - needs disambiguation,"DigitalBridge-backed global hyperscale developer, strong general reputation; specific delivery citations not pulled",n/a,2026-08-05,evidence found - partial (general reputation only),,evidence/06-vantage-frontier-shackelford.md,2026-08-05
7,San Marcos Data Center I,CloudBurst Data Centers / Evolve Holdings,Hays / Guadalupe County,1200,2025-11-05,"96-acre site, specific address (2955 Francis Harris Ln) disclosed; no CAD confirmation",https://cleanview.co/data-centers/texas/1903/cloudburst-san-marcos-data-center,2026-08-05,evidence found - partial,"Hays County Flood Hazard Development Permit confirmed filed; Guadalupe Co. (bldgs+gas plant jurisdiction) permit status/TCEQ docket not found",https://communityimpact.com/san-marcos-buda-kyle/development/new-data-center-planned-near-new-braunfels-and-san-marcos-sparks-debate/,2026-08-05,evidence found - partial,"Energy Transfer Oasis Pipeline supply agreement, 450000 MMBtu/day named commercial deal; no ERCOT fee found",n/a,2026-08-05,evidence found - partial,Checked JETI and Comptroller registry - no match on either,n/a,2026-08-05,no evidence found,Not deeply researched this session - no dedicated search performed,n/a,2026-08-05,not yet researched,,evidence/07-cloudburst-san-marcos.md,2026-08-05
8,Stargate Milam County,SB Energy (SoftBank),Milam County,1200,2026-01-09,"Southridge Land TX LLC (SoftBank Menlo Park address) deed for ~4709 acres of former Alcoa site, filed w/ Milam County",https://therealdeal.com/texas/2026/06/17/softbank-tied-to-detail-sparse-land-purchase-in-milam-county/,2026-08-05,evidence found - strong (inferred via entity record),"Searched SB Energy/Southridge Land/Xebec + TCEQ - all dead-ended, no docket found",n/a,2026-08-05,no evidence found,"$1B joint OpenAI/SoftBank corporate investment; ~$18B campus cost estimate (trade press, not primary filing)",n/a,2026-08-05,evidence found - partial (corporate-level),Checked JETI and Comptroller registry - no match on either,n/a,2026-08-05,no evidence found,"SB Energy: ~1.7GW solar delivered since 2019 (strong record) but ZERO prior data-center delivery - adjacent-business track record only",https://sbenergy.com/sb-energy-announces-closing-of-financing-and-building-of-1-7gw-of-solar-projects-across-california-and-texas/,2026-08-05,evidence found - mixed,site control connection to SoftBank is inferred via registered address not direct name match,evidence/08-sb-energy-stargate-milam.md,2026-08-05
9,El Paso AI Data Center,Meta,El Paso County,1000,2025-10-01,"Wurldwide LLC (Meta SPV) bought 1039 acres from City of El Paso for $8.57M, council-approved, closed 2023-12-29",https://cryptobriefing.com/meta-el-paso-data-center-1gw/,2026-08-05,evidence found - strong,"El Paso Electric PUC filing for McCloud Generation, 366MW/813 generators, ~$473M, paid for by Meta",https://elpasomatters.org/2026/01/18/el-paso-electric-meta-data-center-new-473-million-natural-gas-power-plant/,2026-08-05,evidence found - strong,"Investment raised $1.5B to $10B (2026-03-26); McCloud plant cost recovery via PUC-approved rate charged to Meta",https://www.cnbc.com/2026/03/26/meta-to-spend-10-billion-on-ai-data-center-in-el-paso-1gw-by-2028.html,2026-08-05,evidence found - strong,"El Paso City Council 80% tax abatement/25yrs (2023); County Commissioners Court parallel county break; council rejected termination effort Jun 2026",https://elpasomatters.org/2026/06/09/meta-data-center-deal-to-remain-el-paso-city-council-rejects-terminating-agreement/,2026-08-05,evidence found - strong,"Meta - one of world's largest hyperscale operators, decades-long documented global delivery record",https://datacenters.atmeta.com/,2026-08-05,evidence found - strongest tier,,evidence/09-meta-el-paso.md,2026-08-05
10,Beacon Point,Hut 8,Nueces County,1000,2026-07-20,"525-acre site, self-reported via Hut8.com; no CAD confirmation",https://www.hut8.com/data-centers/beacon-point,2026-08-05,evidence found - partial/self-reported,"Backup generation on-site per co.; co. claims site outside Robstown city limits/permitting jurisdiction (unverified claim); no TCEQ docket found",https://www.kristv.com/news/local-news/in-your-neighborhood/corpus-christi/calallen/beacon-point-ai-massive-data-center-planned-for-nueces-county,2026-08-05,evidence found - partial/unusual claim,"1000MW AEP Texas interconnection agreement (SEC 8-K); two 352MW leases = $19.6B total contract value; tenant unnamed",https://www.sec.gov/Archives/edgar/data/1964789/000110465926084862/tm2620835d1_ex99-1.htm,2026-08-05,evidence found - strong,Checked JETI and Comptroller registry - no match on either,n/a,2026-08-05,no evidence found,"Delivered interconnection + full commercialization within announced timeline; young co. (2018-founded, ex-Bitcoin miner), short history",n/a,2026-08-05,evidence found - positive/short history,unnamed IT-lease tenant is an open question,evidence/10-hut8-beacon-point.md,2026-08-05
